pygame 2.0.0 (SDL 2.0.12, python 3.9.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
         481881 function calls (477542 primitive calls) in 42.057 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      471    0.000    0.000    0.000    0.000 copyreg.py:90(__newobj__)
      170    0.000    0.000    0.000    0.000 pyparsing.py:3439(<genexpr>)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1527(path_hook_for_FileFinder)
      138    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
        4    0.000    0.000    0.000    0.000 pyparsing.py:3353(setResultsName)
       55    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
      390    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
      407    0.000    0.000    0.000    0.000 pyparsing.py:3581(<genexpr>)
      225    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
      353    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
    96/73    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      418    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
       21    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
       75    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:533(_validate_timestamp_pyc)
      150    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
     1814    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1114(exec_module)
      286    0.000    0.000    0.000    0.000 __init__.py:1944(__init__)
       11    0.000    0.000    0.000    0.000 pyparsing.py:3851(__init__)
       28    0.000    0.000    0.000    0.000 posixpath.py:334(normpath)
        3    0.000    0.000    0.000    0.000 pyparsing.py:1877(__mul__)
      948    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       52    0.000    0.000    0.000    0.000 pyparsing.py:2826(__str__)
       41    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
        1    0.000    0.000    0.000    0.000 plistlib.py:835(load)
      418    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
      428    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      221    0.000    0.000    0.000    0.000 {built-in method fromkeys}
  112/108    0.000    0.000    0.000    0.000 pyparsing.py:372(__init__)
        1    0.000    0.000    0.000    0.000 colordict.py:21(<module>)
       66    0.000    0.000    0.000    0.000 __init__.py:1579(_parents)
      948    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       28    0.000    0.000    0.000    0.000 pyparsing.py:3997(__init__)
        8    0.000    0.000    0.000    0.000 sysconfig.py:149(_subst_vars)
       74    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
        1    0.000    0.000    0.000    0.000 _osx_support.py:440(get_platform_osx)
      128    0.000    0.000    0.000    0.000 enum.py:379(__setattr__)
     12/2    0.000    0.000    0.000    0.000 pyparsing.py:1926(makeOptionalList)
        1    0.000    0.000    0.000    0.000 _osx_support.py:277(_check_for_unavailable_sdk)
        1    0.000    0.000    0.000    0.000 plistlib.py:171(parse)
      217    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        3    0.000    0.000    0.000    0.000 __init__.py:1403(has_resource)
     1176    0.000    0.000    0.000    0.000 _structures.py:32(__neg__)
      164    0.000    0.000    0.000    0.000 enum.py:580(__new__)
        3    0.000    0.000    0.000    0.000 __init__.py:1622(get_resource_stream)
      240    0.000    0.000    0.000    0.000 pkgutil.py:406(get_importer)
       11    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
        1    0.000    0.000    0.000    0.000 re.py:233(findall)
      323    0.000    0.000    0.000    0.000 sysfont.py:63(_addfont)
        1    0.000    0.000    0.000    0.000 {method 'ParseFile' of 'pyexpat.xmlparser' objects}
       14    0.000    0.000    0.000    0.000 __init__.py:1977(find_distributions)
      603    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       12    0.000    0.000    0.000    0.000 datetime.py:492(__new__)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
      232    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
       60    0.000    0.000    0.000    0.000 posixpath.py:100(split)
      235    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      234    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
      233    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
     1004    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       53    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
      281    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      826    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
      6/5    0.000    0.000    0.000    0.000 pyparsing.py:4003(parseImpl)
      138    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
      494    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      468    0.000    0.000    0.000    0.000 pyparsing.py:2153(__str__)
        2    0.000    0.000    0.000    0.000 pyparsing.py:4450(delimitedList)
       74    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      612    0.000    0.000    0.000    0.000 version.py:385(<lambda>)
      143    0.000    0.000    0.000    0.000 __init__.py:667(__iter__)
        9    0.000    0.000    0.000    0.000 posixpath.py:372(abspath)
        1    0.000    0.000    0.000    0.000 __init__.py:1687(MemoizedZipManifests)
        8    0.000    0.000    0.000    0.000 enum.py:124(__prepare__)
        8    0.000    0.000    0.000    0.000 enum.py:846(__or__)
      133    0.000    0.000    0.000    0.000 abc.py:96(__instancecheck__)
     1080    0.000    0.000    0.000    0.000 __init__.py:2107(__bool__)
       36    0.000    0.000    0.000    0.000 pyparsing.py:3781(__str__)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
      588    0.000    0.000    0.000    0.000 version.py:367(_parse_local_version)
       75    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:463(_check_name_wrapper)
       24    0.000    0.000    0.000    0.000 enum.py:485(_get_mixins_)
       22    0.000    0.000    0.000    0.000 pyparsing.py:2813(parseImpl)
      476    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 sysconfig.py:158(_extend_dict)
      135    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:811(find_spec)
  336/329    0.000    0.000    0.000    0.000 ElementPath.py:164(select)
      121    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.000    0.000 tempfile.py:1(<module>)
        2    0.000    0.000    0.000    0.000 contextlib.py:433(callback)
        1    0.000    0.000    0.000    0.000 version.py:21(<module>)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1401(__init__)
       44    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
      221    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       22    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       35    0.000    0.000    0.000    0.000 pyparsing.py:2742(__str__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2765(Regex)
      266    0.000    0.000    0.000    0.000 pyparsing.py:3270(<genexpr>)
      491    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      185    0.000    0.000    0.000    0.000 ntpath.py:34(_get_bothseps)
      112    0.000    0.000    0.000    0.000 pyparsing.py:363(__new__)
        1    0.000    0.000    0.000    0.000 tokenize.py:388(open)
      584    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1515(<setcomp>)
       15    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
       83    0.000    0.000    0.000    0.000 six.py:141(__init__)
        4    0.000    0.000    0.000    0.000 pyparsing.py:1841(__radd__)
      339    0.000    0.000    0.000    0.000 pyparsing.py:2159(streamline)
        1    0.000    0.000    0.000    0.000 {method 'iterfind' of 'xml.etree.ElementTree.Element' objects}
       74    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
      148    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
       32    0.000    0.000    0.000    0.000 codecs.py:319(decode)
       18    0.000    0.000    0.000    0.000 warnings.py:165(simplefilter)
       75    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        8    0.000    0.000    0.000    0.000 enum.py:528(_find_new_)
      179    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
       20    0.000    0.000    0.000    0.000 __init__.py:3167(_find_adapter)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        8    0.000    0.000    0.000    0.000 pyparsing.py:4783(<genexpr>)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:892(_find_spec_legacy)
       12    0.000    0.000    0.000    0.000 pyparsing.py:2045(suppress)
        8    0.000    0.000    0.000    0.000 pyparsing.py:3935(__init__)
        5    0.000    0.000    0.000    0.000 random.py:334(randint)
        6    0.000    0.000    0.000    0.000 pyparsing.py:4781(<lambda>)
       70    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
      138    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
       72    0.000    0.000    0.000    0.000 __init__.py:2371(_is_egg_path)
      528    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       24    0.000    0.000    0.000    0.000 enum.py:496(_find_data_type)
        1    0.000    0.000    0.000    0.000 selectors.py:348(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:1270(__init__)
       21    0.000    0.000    0.000    0.000 pyparsing.py:2707(parseImpl)
        2    0.000    0.000    0.000    0.000 enum.py:809(_missing_)
        1    0.000    0.000    0.000    0.000 ElementPath.py:344(iterfind)
       35    0.000    0.000    0.000    0.000 sre_parse.py:258(getwhile)
       89    0.000    0.000    0.000    0.000 enum.py:20(_is_dunder)
       18    0.000    0.000    0.000    0.000 pyparsing.py:663(__iadd__)
        2    0.000    0.000    0.000    0.000 enum.py:816(_create_pseudo_member_)
      133    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      302    0.000    0.000    0.000    0.000 version.py:276(epoch)
       73    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
        1    0.000    0.000    0.000    0.000 pprint.py:11(<module>)
       48    0.000    0.000    0.000    0.000 __init__.py:2562(is_version_line)
       87    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       61    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       19    0.000    0.000    0.000    0.000 warnings.py:181(_add_filter)
       15    0.000    0.000    0.000    0.000 pyparsing.py:4565(_escapeRegexRangeChars)
       45    0.000    0.000    0.000    0.000 pyparsing.py:1190(setName)
        1    0.000    0.000    0.000    0.000 random.py:116(__init__)
        5    0.000    0.000    0.000    0.000 random.py:290(randrange)
      170    0.000    0.000    0.000    0.000 pyparsing.py:2061(setWhitespaceChars)
        1    0.000    0.000    0.000    0.000 random.py:125(seed)
        2    0.000    0.000    0.000    0.000 subprocess.py:1180(wait)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:415(spec_from_loader)
      302    0.000    0.000    0.000    0.000 version.py:288(post)
       89    0.000    0.000    0.000    0.000 enum.py:28(_is_sunder)
       78    0.000    0.000    0.000    0.000 linecache.py:147(lazycache)
       16    0.000    0.000    0.000    0.000 pyparsing.py:1069(wrapper)
      302    0.000    0.000    0.000    0.000 version.py:296(local)
      302    0.000    0.000    0.000    0.000 version.py:292(dev)
       25    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      302    0.000    0.000    0.000    0.000 version.py:280(release)
        2    0.000    0.000    0.000    0.000 enum.py:888(_decompose)
      225    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        6    0.000    0.000    0.000    0.000 __init__.py:1390(__init__)
       76    0.000    0.000    0.000    0.000 pyparsing.py:1351(preParse)
       26    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        2    0.000    0.000    0.000    0.000 subprocess.py:1883(_wait)
      210    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       74    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        1    0.000    0.000    0.000    0.000 os.py:44(_get_exports_list)
        2    0.000    0.000    0.000    0.000 selectors.py:352(register)
      328    0.000    0.000    0.000    0.000 {method 'iter' of 'xml.etree.ElementTree.Element' objects}
        7    0.000    0.000    0.000    0.000 _collections_abc.py:682(__contains__)
      302    0.000    0.000    0.000    0.000 version.py:284(pre)
        1    0.000    0.000    0.000    0.000 __init__.py:3244(_initialize)
      142    0.000    0.000    0.000    0.000 __init__.py:920(_added_new)
       10    0.000    0.000    0.000    0.000 os.py:674(__getitem__)
        2    0.000    0.000    0.000    0.000 pyparsing.py:1288(addParseAction)
        6    0.000    0.000    0.000    0.000 sre_compile.py:416(_bytes_to_codes)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7ffa1018e4c0}
        7    0.000    0.000    0.000    0.000 specifiers.py:256(_require_version_compare)
      395    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      135    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        6    0.000    0.000    0.000    0.000 pyparsing.py:3098(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       75    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:946(__init__)
       17    0.000    0.000    0.000    0.000 copyreg.py:99(_slotnames)
       32    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
       14    0.000    0.000    0.000    0.000 plistlib.py:185(handle_end_element)
        1    0.000    0.000    0.000    0.000 selectors.py:210(__init__)
        9    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       20    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
      149    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
      148    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        5    0.000    0.000    0.000    0.000 pyparsing.py:4292(__init__)
       19    0.000    0.000    0.000    0.000 pyparsing.py:4017(__str__)
      104    0.000    0.000    0.000    0.000 traceback.py:292(walk_stack)
      195    0.000    0.000    0.000    0.000 pyparsing.py:3392(<genexpr>)
      2/1    0.000    0.000    0.000    0.000 pyparsing.py:3939(parseImpl)
        1    0.000    0.000    0.000    0.000 _structures.py:4(<module>)
      150    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      270    0.000    0.000    0.000    0.000 __init__.py:2604(_reload_version)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:757(create_module)
        2    0.000    0.000    0.000    0.000 selectors.py:235(register)
        1    0.000    0.000    0.000    0.000 pyparsing.py:1103(ParserElement)
       97    0.000    0.000    0.000    0.000 pyparsing.py:4781(<genexpr>)
        1    0.000    0.000    0.000    0.000 subprocess.py:1566(_get_handles)
        4    0.000    0.000    0.000    0.000 pyparsing.py:2020(__invert__)
        5    0.000    0.000    0.000    0.000 random.py:237(_randbelow_with_getrandbits)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        3    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
       78    0.000    0.000    0.000    0.000 traceback.py:243(__init__)
      270    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 sysconfig.py:188(_getuserbase)
       35    0.000    0.000    0.000    0.000 types.py:171(__get__)
        2    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
       43    0.000    0.000    0.000    0.000 six.py:105(__init__)
        1    0.000    0.000    0.000    0.000 _compat.py:20(with_metaclass)
        1    0.000    0.000    0.000    0.000 pyparsing.py:4268(postParse)
       12    0.000    0.000    0.000    0.000 pyparsing.py:4757(<lambda>)
       18    0.000    0.000    0.000    0.000 warnings.py:458(__enter__)
        1    0.000    0.000    0.000    0.000 sysconfig.py:136(is_python_build)
        1    0.000    0.000    0.000    0.000 appdirs.py:6(<module>)
        1    0.000    0.000    0.000    0.000 _sysconfigdata__darwin_darwin.py:2(<module>)
        4    0.000    0.000    0.000    0.000 pyparsing.py:3829(__init__)
       12    0.000    0.000    0.000    0.000 pyparsing.py:420(__setitem__)
        3    0.000    0.000    0.000    0.000 pyparsing.py:3164(__init__)
        1    0.000    0.000    0.000    0.000 sysconfig.py:119(_is_python_source_dir)
        1    0.000    0.000    0.000    0.000 datetime.py:2216(timezone)
        2    0.000    0.000    0.000    0.000 selectors.py:366(unregister)
        1    0.000    0.000    0.000    0.000 tokenize.py:295(detect_encoding)
        2    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
       56    0.000    0.000    0.000    0.000 selectors.py:67(__len__)
       88    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
      7/2    0.000    0.000    0.000    0.000 abc.py:100(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 contextlib.py:470(__exit__)
        2    0.000    0.000    0.000    0.000 {built-in method posix.uname}
        4    0.000    0.000    0.000    0.000 selectors.py:216(_fileobj_lookup)
      126    0.000    0.000    0.000    0.000 six.py:88(__init__)
        1    0.000    0.000    0.000    0.000 subprocess.py:1870(_try_wait)
        3    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.000    0.000 abc.py:89(register)
        3    0.000    0.000    0.000    0.000 datetime.py:1602(__new__)
        2    0.000    0.000    0.000    0.000 contextlib.py:451(_push_exit_callback)
      145    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      7/2    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      164    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       50    0.000    0.000    0.000    0.000 six.py:177(_add_module)
        1    0.000    0.000    0.000    0.000 threading.py:777(__init__)
       26    0.000    0.000    0.000    0.000 traceback.py:272(__getitem__)
        8    0.000    0.000    0.000    0.000 __init__.py:23(find_module)
       41    0.000    0.000    0.000    0.000 pyparsing.py:209(__init__)
        8    0.000    0.000    0.000    0.000 pyparsing.py:3508(__str__)
       75    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.000    0.000 pyparsing.py:1972(__xor__)
        2    0.000    0.000    0.000    0.000 pyparsing.py:4214(copy)
      139    0.000    0.000    0.000    0.000 pyparsing.py:3543(<genexpr>)
        9    0.000    0.000    0.000    0.000 posixpath.py:228(expanduser)
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
      122    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(has_location)
        4    0.000    0.000    0.000    0.000 selectors.py:21(_fileobj_to_fd)
        1    0.000    0.000    0.000    0.000 contextlib.py:389(__init__)
        1    0.000    0.000    0.000    0.000 sysconfig.py:193(joinuser)
      188    0.000    0.000    0.000    0.000 pyparsing.py:2656(<genexpr>)
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
       29    0.000    0.000    0.000    0.000 pyparsing.py:411(__getitem__)
        1    0.000    0.000    0.000    0.000 {built-in method posix.waitpid}
        3    0.000    0.000    0.000    0.000 {built-in method pygame.base.get_sdl_version}
        1    0.000    0.000    0.000    0.000 pyparsing.py:3458(__init__)
       96    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1095(__init__)
       18    0.000    0.000    0.000    0.000 warnings.py:477(__exit__)
       41    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       10    0.000    0.000    0.000    0.000 pyparsing.py:3945(__str__)
       14    0.000    0.000    0.000    0.000 __init__.py:3249(<genexpr>)
        2    0.000    0.000    0.000    0.000 datetime.py:665(__neg__)
       10    0.000    0.000    0.000    0.000 ElementPath.py:73(xpath_tokenizer)
        3    0.000    0.000    0.000    0.000 pyparsing.py:2376(__init__)
       12    0.000    0.000    0.000    0.000 __init__.py:2378(_is_unpacked_egg)
      114    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 _compat.py:28(__new__)
        8    0.000    0.000    0.000    0.000 enum.py:478(_check_for_existing_members)
        4    0.000    0.000    0.000    0.000 {built-in method posix.close}
        3    0.000    0.000    0.000    0.000 pyparsing.py:755(copy)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3061(__init__)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.round}
       10    0.000    0.000    0.000    0.000 os.py:754(encode)
        2    0.000    0.000    0.000    0.000 genericpath.py:27(isfile)
        1    0.000    0.000    0.000    0.000 selectors.py:584(_can_use)
       56    0.000    0.000    0.000    0.000 selectors.py:276(_key_from_fd)
        2    0.000    0.000    0.000    0.000 selectors.py:248(unregister)
        1    0.000    0.000    0.000    0.000 pprint.py:103(PrettyPrinter)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2991(__init__)
        2    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 pyparsing.py:3368(And)
       95    0.000    0.000    0.000    0.000 pyparsing.py:203(<genexpr>)
       17    0.000    0.000    0.000    0.000 pyparsing.py:2431(parseImpl)
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1407(<genexpr>)
        5    0.000    0.000    0.000    0.000 datetime.py:415(_check_date_fields)
       14    0.000    0.000    0.000    0.000 plistlib.py:179(handle_begin_element)
       18    0.000    0.000    0.000    0.000 warnings.py:437(__init__)
       78    0.000    0.000    0.000    0.000 pyparsing.py:2052(leaveWhitespace)
        8    0.000    0.000    0.000    0.000 enum.py:338(__getattr__)
       16    0.000    0.000    0.000    0.000 pyparsing.py:2751(charsAsStr)
       39    0.000    0.000    0.000    0.000 plistlib.py:190(handle_data)
        2    0.000    0.000    0.000    0.000 contextlib.py:383(_create_cb_wrapper)
        1    0.000    0.000    0.000    0.000 os.py:48(<listcomp>)
        3    0.000    0.000    0.000    0.000 six.py:91(__get__)
       10    0.000    0.000    0.000    0.000 pyparsing.py:2963(__str__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3465(parseImpl)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        1    0.000    0.000    0.000    0.000 contextlib.py:215(contextmanager)
        1    0.000    0.000    0.000    0.000 threading.py:535(set)
       94    0.000    0.000    0.000    0.000 pyparsing.py:4890(<genexpr>)
        5    0.000    0.000    0.000    0.000 pyparsing.py:668(<listcomp>)
        1    0.000    0.000    0.000    0.000 calendar.py:50(_localized_month)
        1    0.000    0.000    0.000    0.000 sysfont.py:271(create_aliases)
        2    0.000    0.000    0.000    0.000 _bootlocale.py:33(getpreferredencoding)
       75    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:971(get_filename)
        2    0.000    0.000    0.000    0.000 datetime.py:1270(__new__)
       71    0.000    0.000    0.000    0.000 enum.py:468(<lambda>)
        1    0.000    0.000    0.000    0.000 sysconfig.py:344(_get_sysconfigdata_name)
        1    0.000    0.000    0.000    0.000 threading.py:918(_set_native_id)
        5    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        1    0.000    0.000    0.000    0.000 compat.py:2(<module>)
        5    0.000    0.000    0.000    0.000 datetime.py:428(_check_time_fields)
        6    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
        8    0.000    0.000    0.000    0.000 enum.py:153(<dictcomp>)
        8    0.000    0.000    0.000    0.000 enum.py:58(__init__)
        2    0.000    0.000    0.000    0.000 version.py:37(__new__)
        6    0.000    0.000    0.000    0.000 plistlib.py:253(end_string)
       75    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:781(create_module)
        2    0.000    0.000    0.000    0.000 __init__.py:45(__init__)
        2    0.000    0.000    0.000    0.000 tokenize.py:319(read_or_stop)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.get_native_id}
        1    0.000    0.000    0.000    0.000 __init__.py:2570(Distribution)
        2    0.000    0.000    0.000    0.000 datetime.py:823(__new__)
        1    0.000    0.000    0.000    0.000 functools.py:517(decorating_function)
        1    0.000    0.000    0.000    0.000 threading.py:521(__init__)
       35    0.000    0.000    0.000    0.000 datetime.py:383(_check_int_field)
        1    0.000    0.000    0.000    0.000 datetime.py:1594(datetime)
       41    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.000    0.000 zipfile.py:1180(ZipFile)
        7    0.000    0.000    0.000    0.000 pyparsing.py:4825(tokenMap)
        1    0.000    0.000    0.000    0.000 contextlib.py:467(__enter__)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:675(get)
        4    0.000    0.000    0.000    0.000 __init__.py:136(_declare_state)
        2    0.000    0.000    0.000    0.000 pyparsing.py:1441(tryParse)
       12    0.000    0.000    0.000    0.000 pyparsing.py:3513(<genexpr>)
       41    0.000    0.000    0.000    0.000 __init__.py:419(<genexpr>)
        1    0.000    0.000    0.000    0.000 {built-in method pyexpat.ParserCreate}
        5    0.000    0.000    0.000    0.000 re.py:270(escape)
        2    0.000    0.000    0.000    0.000 charset.py:211(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:52(<listcomp>)
       34    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
       56    0.000    0.000    0.000    0.000 selectors.py:273(get_map)
        6    0.000    0.000    0.000    0.000 plistlib.py:227(end_key)
        1    0.000    0.000    0.000    0.000 specifiers.py:21(BaseSpecifier)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3151(__init__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:4335(__init__)
       15    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
        1    0.000    0.000    0.000    0.000 threading.py:374(notify_all)
        1    0.000    0.000    0.000    0.000 expat.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:228(__init__)
       35    0.000    0.000    0.000    0.000 enum.py:683(value)
       20    0.000    0.000    0.000    0.000 __init__.py:3157(_always_object)
        1    0.000    0.000    0.000    0.000 socket.py:214(socket)
       72    0.000    0.000    0.000    0.000 signal.py:22(<lambda>)
        1    0.000    0.000    0.000    0.000 datetime.py:793(date)
        9    0.000    0.000    0.000    0.000 pyparsing.py:3841(__str__)
        1    0.000    0.000    0.000    0.000 subprocess.py:696(Popen)
        2    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
       60    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
        1    0.000    0.000    0.000    0.000 random.py:100(Random)
        1    0.000    0.000    0.000    0.000 {built-in method posix.readlink}
        3    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
       71    0.000    0.000    0.000    0.000 signal.py:17(<lambda>)
        2    0.000    0.000    0.000    0.000 {built-in method math.log}
       57    0.000    0.000    0.000    0.000 subprocess.py:1160(_remaining_time)
        3    0.000    0.000    0.000    0.000 pyparsing.py:1567(resetCache)
       56    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISLNK}
       14    0.000    0.000    0.000    0.000 functools.py:65(wraps)
        1    0.000    0.000    0.000    0.000 pyparsing.py:433(__delitem__)
        1    0.000    0.000    0.000    0.000 threading.py:766(Thread)
        2    0.000    0.000    0.000    0.000 tokenize.py:325(find_cookie)
        6    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
       30    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
