pygame 2.0.0 (SDL 2.0.12, python 3.9.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
         481881 function calls (477542 primitive calls) in 42.057 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1652    0.002    0.000    0.009    0.000 __init__.py:2079(dist_factory)
   788/74    0.003    0.000    0.009    0.000 sre_compile.py:71(_compile)
        1    0.000    0.000    0.009    0.009 specifiers.py:4(<module>)
        1    0.000    0.000    0.009    0.009 sysfont.py:21(<module>)
     1393    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
    18/15    0.000    0.000    0.008    0.001 <frozen importlib._bootstrap>:1033(_handle_fromlist)
      302    0.001    0.000    0.008    0.000 __init__.py:1325(safe_version)
        1    0.000    0.000    0.008    0.008 pyparsing.py:5399(pyparsing_common)
       75    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:585(_compile_bytecode)
     1177    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
        1    0.000    0.000    0.007    0.007 specifiers.py:266(Specifier)
       75    0.007    0.000    0.007    0.000 {built-in method marshal.loads}
      826    0.001    0.000    0.007    0.000 genericpath.py:39(isdir)
      588    0.001    0.000    0.007    0.000 version.py:69(__init__)
    11616    0.003    0.000    0.007    0.000 sre_parse.py:254(get)
      588    0.002    0.000    0.007    0.000 version.py:152(_legacy_cmpkey)
        5    0.000    0.000    0.007    0.001 redvsblue.py:57(drawgroup)
       31    0.006    0.000    0.006    0.000 {built-in method pygame.imageext.load_extended}
        1    0.000    0.000    0.006    0.006 utils.py:5(<module>)
     3770    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
      211    0.000    0.000    0.006    0.000 __init__.py:2774(_get_metadata)
      328    0.001    0.000    0.006    0.000 sysfont.py:156(_add_font_paths)
5031/5027    0.002    0.000    0.005    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.005    0.005 zipfile.py:1(<module>)
      298    0.001    0.000    0.005    0.000 __init__.py:2064(<genexpr>)
       25    0.000    0.000    0.005    0.000 redvsblue.py:16(__init__)
        1    0.000    0.000    0.004    0.004 subprocess.py:10(<module>)
    12897    0.004    0.000    0.004    0.000 sre_parse.py:233(__next)
13909/13004    0.004    0.000    0.004    0.000 {built-in method builtins.len}
      158    0.000    0.000    0.004    0.000 __init__.py:1409(has_metadata)
       75    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:976(get_data)
        1    0.000    0.000    0.004    0.004 header.py:5(<module>)
        1    0.000    0.000    0.004    0.004 platform.py:3(<module>)
       12    0.000    0.000    0.004    0.000 pyparsing.py:4251(__init__)
    36/11    0.000    0.000    0.004    0.000 pyparsing.py:3743(leaveWhitespace)
      471    0.000    0.000    0.004    0.000 pyparsing.py:1167(copy)
     3284    0.002    0.000    0.003    0.000 version.py:135(_parse_version_parts)
        1    0.000    0.000    0.003    0.003 version.py:4(<module>)
     1228    0.001    0.000    0.003    0.000 posixpath.py:117(splitext)
        1    0.000    0.000    0.003    0.003 plistlib.py:1(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:958(Environment)
        1    0.000    0.000    0.003    0.003 __init__.py:176(get_supported_platform)
        1    0.000    0.000    0.003    0.003 shutil.py:1(<module>)
      471    0.001    0.000    0.003    0.000 copy.py:66(copy)
      323    0.000    0.000    0.003    0.000 sysfont.py:57(_simplename)
     3770    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
        1    0.000    0.000    0.003    0.003 socket.py:4(<module>)
      319    0.002    0.000    0.003    0.000 sre_compile.py:276(_optimize_charset)
     1073    0.002    0.000    0.003    0.000 posixpath.py:71(join)
        1    0.000    0.000    0.003    0.003 __init__.py:386(get_build_platform)
    61/11    0.000    0.000    0.003    0.000 pyparsing.py:3288(leaveWhitespace)
   131/65    0.000    0.000    0.003    0.000 pyparsing.py:3363(copy)
       25    0.000    0.000    0.003    0.000 pyparsing.py:1250(setParseAction)
        1    0.000    0.000    0.003    0.003 version.py:213(Version)
       27    0.000    0.000    0.003    0.000 pyparsing.py:1039(_trim_arity)
      185    0.000    0.000    0.003    0.000 __init__.py:1487(_fn)
       16    0.000    0.000    0.003    0.000 __init__.py:2991(_reload_version)
      179    0.000    0.000    0.003    0.000 __init__.py:1406(_get_metadata_path)
        7    0.000    0.000    0.003    0.000 enum.py:445(_convert_)
    17918    0.002    0.000    0.003    0.000 {built-in method builtins.isinstance}
       16    0.000    0.000    0.003    0.000 __init__.py:2779(_get_version)
       16    0.000    0.000    0.003    0.000 __init__.py:2557(_version_from_file)
       26    0.000    0.000    0.003    0.000 pyparsing.py:1047(extract_stack)
     3316    0.001    0.000    0.002    0.000 version.py:61(_compare)
       12    0.000    0.000    0.002    0.000 pyparsing.py:2653(__init__)
        1    0.000    0.000    0.002    0.002 ElementTree.py:1(<module>)
        3    0.000    0.000    0.002    0.001 pyparsing.py:1608(parseString)
     5390    0.002    0.000    0.002    0.000 sre_parse.py:164(__getitem__)
       26    0.000    0.000    0.002    0.000 traceback.py:200(extract_stack)
       75    0.002    0.000    0.002    0.000 {built-in method io.open_code}
      286    0.001    0.000    0.002    0.000 __init__.py:684(add)
     4232    0.002    0.000    0.002    0.000 sysfont.py:60(<genexpr>)
      343    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1272(_path_importer_cache)
       26    0.000    0.000    0.002    0.000 traceback.py:321(extract)
      673    0.000    0.000    0.002    0.000 {built-in method builtins.next}
   131/65    0.000    0.000    0.002    0.000 pyparsing.py:3365(<listcomp>)
        1    0.000    0.000    0.002    0.002 sysconfig.py:605(get_platform)
        7    0.000    0.000    0.002    0.000 __init__.py:1(<module>)
      122    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
      172    0.000    0.000    0.002    0.000 enum.py:289(__call__)
      302    0.001    0.000    0.002    0.000 version.py:248(__str__)
       61    0.000    0.000    0.002    0.000 pyparsing.py:3292(<listcomp>)
        1    0.000    0.000    0.002    0.002 subprocess.py:752(__init__)
  922/217    0.001    0.000    0.002    0.000 sre_parse.py:174(getwidth)
      588    0.002    0.000    0.002    0.000 version.py:378(_cmpkey)
        1    0.000    0.000    0.002    0.002 subprocess.py:1659(_execute_child)
     1658    0.001    0.000    0.002    0.000 version.py:43(__lt__)
     1178    0.002    0.000    0.002    0.000 {method 'search' of 're.Pattern' objects}
       60    0.002    0.000    0.002    0.000 {built-in method posix.getcwd}
        8    0.000    0.000    0.002    0.000 enum.py:392(_create_)
      185    0.000    0.000    0.002    0.000 __init__.py:1493(_validate_resource_path)
     1228    0.001    0.000    0.002    0.000 genericpath.py:121(_splitext)
     5754    0.002    0.000    0.002    0.000 {method 'get_rect' of 'pygame.Surface' objects}
       12    0.000    0.000    0.002    0.000 __init__.py:2116(safe_listdir)
     1421    0.002    0.000    0.002    0.000 {built-in method time.time}
     1658    0.001    0.000    0.002    0.000 version.py:49(__eq__)
      2/1    0.000    0.000    0.002    0.002 sysconfig.py:514(get_config_vars)
      286    0.000    0.000    0.002    0.000 __init__.py:1317(safe_name)
      438    0.001    0.000    0.002    0.000 posixpath.py:150(dirname)
      216    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:104(_path_isdir)
        1    0.000    0.000    0.002    0.002 random.py:1(<module>)
       74    0.000    0.000    0.002    0.000 sre_compile.py:536(_compile_info)
      104    0.000    0.000    0.002    0.000 traceback.py:285(line)
      161    0.000    0.000    0.002    0.000 __init__.py:1613(_has)
    15105    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
      165    0.000    0.000    0.001    0.000 genericpath.py:16(exists)
       78    0.000    0.000    0.001    0.000 linecache.py:26(getline)
        1    0.000    0.000    0.001    0.001 pyparsing.py:4904(makeHTMLTags)
        1    0.000    0.000    0.001    0.001 pyparsing.py:4875(_makeTags)
      286    0.000    0.000    0.001    0.000 re.py:203(sub)
        1    0.000    0.000    0.001    0.001 quoprimime.py:5(<module>)
    111/5    0.000    0.000    0.001    0.000 pyparsing.py:3319(streamline)
      135    0.000    0.000    0.001    0.000 sre_parse.py:96(closegroup)
       78    0.000    0.000    0.001    0.000 linecache.py:36(getlines)
      142    0.000    0.000    0.001    0.000 __init__.py:2879(insert_on)
       21    0.000    0.000    0.001    0.000 __init__.py:1431(get_metadata_lines)
        1    0.000    0.000    0.001    0.001 linecache.py:80(updatecache)
        1    0.000    0.000    0.001    0.001 markers.py:4(<module>)
       21    0.000    0.000    0.001    0.000 __init__.py:1416(get_metadata)
        5    0.000    0.000    0.001    0.000 __init__.py:2273(declare_namespace)
      471    0.001    0.000    0.001    0.000 copy.py:258(_reconstruct)
        1    0.000    0.000    0.001    0.001 queue.py:1(<module>)
      138    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:156(__enter__)
        8    0.000    0.000    0.001    0.000 enum.py:136(__new__)
     5744    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
      854    0.001    0.000    0.001    0.000 __init__.py:2646(key)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
       57    0.001    0.000    0.001    0.000 {built-in method posix.read}
    148/3    0.000    0.000    0.001    0.000 pyparsing.py:1370(_parseNoCache)
    54/10    0.000    0.000    0.001    0.000 pyparsing.py:3762(streamline)
     22/3    0.000    0.000    0.001    0.000 pyparsing.py:3397(parseImpl)
      185    0.000    0.000    0.001    0.000 ntpath.py:61(isabs)
     6181    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
        2    0.001    0.000    0.001    0.001 sysfont.py:321(font_constructor)
       83    0.000    0.000    0.001    0.000 pyparsing.py:1821(__add__)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
      150    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:301(cache_from_source)
     8176    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     2275    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      194    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:385(cached)
        2    0.000    0.000    0.001    0.000 pyparsing.py:4763(srange)
      133    0.000    0.000    0.001    0.000 pyparsing.py:3260(__init__)
     2062    0.001    0.000    0.001    0.000 posixpath.py:41(_get_sep)
       30    0.001    0.000    0.001    0.000 {built-in method io.open}
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
     7349    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     3239    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
     2681    0.001    0.000    0.001    0.000 sre_parse.py:249(match)
       84    0.000    0.000    0.001    0.000 pyparsing.py:3390(__init__)
     4634    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
       97    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
       21    0.000    0.000    0.001    0.000 __init__.py:1625(_get)
        8    0.000    0.000    0.001    0.000 __init__.py:345(namedtuple)
        9    0.000    0.000    0.001    0.000 posixpath.py:387(realpath)
        1    0.000    0.000    0.001    0.001 sprite.py:21(<module>)
      245    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
     1006    0.000    0.000    0.001    0.000 __init__.py:2363(_normalize_cached)
        1    0.000    0.000    0.001    0.001 selectors.py:1(<module>)
      119    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:431(_get_cached)
      335    0.001    0.000    0.001    0.000 pyparsing.py:1144(__init__)
        1    0.001    0.001    0.001    0.001 {built-in method _posixsubprocess.fork_exec}
     1257    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x10393bcf8}
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
      588    0.001    0.000    0.001    0.000 {method 'split' of 're.Pattern' objects}
        1    0.000    0.000    0.001    0.001 ntpath.py:2(<module>)
        7    0.000    0.000    0.001    0.000 enum.py:462(<listcomp>)
       75    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1017(path_stats)
     6551    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     10/9    0.000    0.000    0.001    0.000 posixpath.py:396(_joinrealpath)
       11    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1486(_fill_cache)
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
      286    0.000    0.000    0.001    0.000 posixpath.py:140(basename)
        2    0.001    0.000    0.001    0.000 {method 'join' of 'bytes' objects}
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
    23/10    0.000    0.000    0.001    0.000 pyparsing.py:3547(parseImpl)
        1    0.000    0.000    0.001    0.001 specifiers.py:207(LegacySpecifier)
    24/10    0.000    0.000    0.001    0.000 pyparsing.py:3737(parseImpl)
     2352    0.001    0.000    0.001    0.000 version.py:226(<genexpr>)
        7    0.000    0.000    0.001    0.000 __init__.py:2346(normalize_path)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:4(<module>)
        3    0.000    0.000    0.001    0.000 pkgdata.py:46(getResource)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
      286    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
      465    0.000    0.000    0.001    0.000 __init__.py:2821(__getattr__)
     1798    0.000    0.000    0.001    0.000 sre_parse.py:160(__len__)
      119    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1433(_get_spec)
      4/3    0.000    0.000    0.001    0.000 pyparsing.py:3859(parseImpl)
