pygame 2.0.0 (SDL 2.0.12, python 3.9.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
         4126509 function calls (4122176 primitive calls) in 31.177 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1286    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
        1    0.000    0.000    0.007    0.007 specifiers.py:266(Specifier)
    11616    0.003    0.000    0.007    0.000 sre_parse.py:254(get)
      784    0.001    0.000    0.007    0.000 genericpath.py:39(isdir)
     1088    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
      560    0.000    0.000    0.007    0.000 version.py:69(__init__)
        1    0.000    0.000    0.006    0.006 utils.py:5(<module>)
      560    0.002    0.000    0.006    0.000 version.py:152(_legacy_cmpkey)
      203    0.000    0.000    0.006    0.000 __init__.py:2774(_get_metadata)
     3528    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
        1    0.000    0.000    0.005    0.005 zipfile.py:1(<module>)
      284    0.000    0.000    0.005    0.000 __init__.py:2064(<genexpr>)
       20    0.004    0.000    0.004    0.000 {method 'fill' of 'pygame.Surface' objects}
    12897    0.004    0.000    0.004    0.000 sre_parse.py:233(__next)
        1    0.000    0.000    0.004    0.004 subprocess.py:10(<module>)
       76    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:976(get_data)
        1    0.000    0.000    0.004    0.004 header.py:5(<module>)
      151    0.000    0.000    0.004    0.000 __init__.py:1409(has_metadata)
       12    0.000    0.000    0.004    0.000 pyparsing.py:4251(__init__)
    36/11    0.000    0.000    0.004    0.000 pyparsing.py:3743(leaveWhitespace)
        1    0.000    0.000    0.004    0.004 version.py:4(<module>)
      471    0.000    0.000    0.004    0.000 pyparsing.py:1167(copy)
     3168    0.002    0.000    0.003    0.000 version.py:135(_parse_version_parts)
        1    0.000    0.000    0.003    0.003 __init__.py:958(Environment)
        1    0.000    0.000    0.003    0.003 __init__.py:176(get_supported_platform)
      471    0.001    0.000    0.003    0.000 copy.py:66(copy)
        1    0.000    0.000    0.003    0.003 platform.py:3(<module>)
        1    0.000    0.000    0.003    0.003 plistlib.py:1(<module>)
      319    0.002    0.000    0.003    0.000 sre_compile.py:276(_optimize_charset)
        1    0.000    0.000    0.003    0.003 shutil.py:1(<module>)
        1    0.000    0.000    0.003    0.003 socket.py:4(<module>)
   131/65    0.000    0.000    0.003    0.000 pyparsing.py:3363(copy)
        1    0.000    0.000    0.003    0.003 __init__.py:386(get_build_platform)
    61/11    0.000    0.000    0.003    0.000 pyparsing.py:3288(leaveWhitespace)
        1    0.000    0.000    0.003    0.003 version.py:213(Version)
     1019    0.002    0.000    0.003    0.000 posixpath.py:71(join)
     3528    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
20886/19981    0.002    0.000    0.003    0.000 {built-in method builtins.len}
       16    0.000    0.000    0.003    0.000 __init__.py:2991(_reload_version)
       25    0.000    0.000    0.003    0.000 pyparsing.py:1250(setParseAction)
        7    0.000    0.000    0.003    0.000 enum.py:445(_convert_)
       27    0.000    0.000    0.003    0.000 pyparsing.py:1039(_trim_arity)
       16    0.000    0.000    0.003    0.000 __init__.py:2779(_get_version)
       16    0.000    0.000    0.003    0.000 __init__.py:2557(_version_from_file)
        1    0.000    0.000    0.003    0.003 ElementTree.py:1(<module>)
       12    0.000    0.000    0.002    0.000 pyparsing.py:2653(__init__)
        7    0.000    0.000    0.002    0.000 __init__.py:1(<module>)
      347    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1272(_path_importer_cache)
     5390    0.002    0.000    0.002    0.000 sre_parse.py:164(__getitem__)
      171    0.000    0.000    0.002    0.000 __init__.py:1406(_get_metadata_path)
       26    0.000    0.000    0.002    0.000 pyparsing.py:1047(extract_stack)
